"Expuestos","Hospitalizados","Recuperados","Muertos","tick"
0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,12.0
5.0,0.0,0.0,0.0,24.0
5.0,0.0,0.0,0.0,36.0
5.0,0.0,0.0,0.0,48.0
9.0,0.0,0.0,0.0,60.0
18.0,0.0,0.0,0.0,72.0
35.0,0.0,0.0,0.0,84.0
46.0,0.0,0.0,0.0,96.0
63.0,0.0,1.0,0.0,108.0
69.0,0.0,4.0,0.0,120.0
100.0,0.0,5.0,0.0,132.0
194.0,0.0,5.0,0.0,144.0
308.0,1.0,5.0,0.0,156.0
438.0,2.0,8.0,0.0,168.0
595.0,2.0,11.0,0.0,180.0
881.0,3.0,21.0,0.0,192.0
1249.0,5.0,33.0,0.0,204.0
1749.0,4.0,44.0,1.0,216.0
2446.0,8.0,57.0,1.0,228.0
3194.0,10.0,73.0,1.0,240.0
3923.0,20.0,113.0,1.0,252.0
4672.0,38.0,195.0,1.0,264.0
5334.0,51.0,299.0,2.0,276.0
5874.0,68.0,447.0,3.0,288.0
6291.0,89.0,633.0,5.0,300.0
6640.0,100.0,871.0,9.0,312.0
6917.0,115.0,1230.0,15.0,324.0
7154.0,130.0,1720.0,21.0,336.0
7333.0,127.0,2354.0,27.0,348.0
7469.0,121.0,3026.0,38.0,360.0
7587.0,100.0,3755.0,49.0,372.0
7665.0,79.0,4481.0,57.0,384.0
7717.0,71.0,5121.0,64.0,396.0
7752.0,54.0,5673.0,71.0,408.0
7785.0,39.0,6146.0,77.0,420.0
7803.0,31.0,6493.0,80.0,432.0
7816.0,25.0,6769.0,84.0,444.0
7820.0,17.0,7009.0,88.0,456.0
7828.0,7.0,7204.0,92.0,468.0
7828.0,6.0,7359.0,92.0,480.0
7829.0,6.0,7477.0,92.0,492.0
7830.0,1.0,7556.0,95.0,504.0
7832.0,1.0,7615.0,95.0,516.0
7833.0,1.0,7652.0,95.0,528.0
7833.0,1.0,7685.0,95.0,540.0
7835.0,1.0,7704.0,95.0,552.0
7835.0,1.0,7717.0,95.0,564.0
7836.0,1.0,7723.0,95.0,576.0
7837.0,1.0,7728.0,95.0,588.0
7837.0,0.0,7731.0,96.0,600.0
7837.0,0.0,7733.0,96.0,612.0
7838.0,0.0,7734.0,96.0,624.0
7838.0,0.0,7734.0,96.0,636.0
7839.0,0.0,7735.0,96.0,648.0
7839.0,0.0,7738.0,96.0,660.0
7840.0,0.0,7739.0,96.0,672.0
7840.0,0.0,7739.0,96.0,684.0
7840.0,0.0,7739.0,96.0,696.0
7840.0,0.0,7741.0,96.0,708.0
7840.0,1.0,7741.0,96.0,720.0
7840.0,1.0,7741.0,96.0,732.0
7840.0,1.0,7741.0,96.0,744.0
7840.0,1.0,7742.0,96.0,756.0
7840.0,1.0,7742.0,96.0,768.0
7840.0,1.0,7742.0,96.0,780.0
7840.0,0.0,7744.0,96.0,792.0
